A,kf,d,kw,a,L,w,p,q,U_consumer,U_worker,profit
4,0.5,0.5,2,6.0,1.7320508075688772,1.7320508075688774,1.139753528477389,5.2642960518099695,3.9656845997215084,1.5000000000000002,3.000000000000001
2,0.5,0.5,2,8.0,2.0,2.0,2.82842712474619,2.8284271247461903,0.31776616671934477,2.0,4.0
4,0.5,0.5,2,8.0,2.0,2.0,1.414213562373095,5.656854249492381,5.862943611198906,2.0,4.0
2,0.5,0.5,2,12.0,2.449489742783178,2.4494897427831783,3.833658625477635,3.1301691601465746,1.6930445744035083,3.0000000000000004,6.0
4,0.5,0.5,2,12.0,2.449489742783178,2.4494897427831783,1.9168293127388174,6.260338320293149,10.010810741122853,3.0000000000000004,6.0
6,0.5,0.5,2,12.0,2.449489742783178,2.4494897427831783,1.277886208492545,9.390507480439723,14.876392038420825,3.0000000000000004,6.000000000000002
2,0.5,0.5,2,14.0,2.6457513110645907,2.6457513110645903,4.303517070658851,3.2531531233955717,2.51474604953283,3.4999999999999987,7.000000000000003
4,0.5,0.5,2,14.0,2.6457513110645907,2.6457513110645903,2.1517585353294253,6.506306246791143,12.218806577372062,3.4999999999999987,7.000000000000003
6,0.5,0.5,2,14.0,2.6457513110645907,2.6457513110645903,1.4345056902196167,9.759459370186715,17.89531809088637,3.4999999999999987,7.000000000000003
2,0.5,0.5,2,16.0,2.8284271247461903,2.82842712474619,4.756828460010884,3.3635856610148585,3.408121055678471,3.999999999999999,8.0
4,0.5,0.5,2,16.0,2.8284271247461903,2.82842712474619,2.378414230005442,6.727171322029717,14.498475944637594,3.999999999999999,8.0
6,0.5,0.5,2,16.0,2.8284271247461903,2.82842712474619,1.5856094866702948,10.090756983044574,20.985917674368224,3.999999999999999,8.0
2,0.5,0.5,2,18.0,3.0,3.0,5.196152422706632,3.4641016151377544,4.3641598480920045,4.5,9.0
4,0.5,0.5,2,18.0,3.0,3.0,2.598076211353316,6.928203230275509,16.840809098171015,4.5,9.0
6,0.5,0.5,2,18.0,3.0,3.0,1.7320508075688772,10.392304845413264,24.139181044117976,4.5,9.0
4,0.5,1.0,2,8.0,1.4142135623730951,2.82842712474619,1.6817928305074292,4.756828460010884,4.476649250079015,1.9999999999999996,4.0
6,0.5,1.0,2,8.0,1.4142135623730951,2.82842712474619,1.121195220338286,7.135242690016327,7.7203701149443305,1.9999999999999996,3.999999999999999
4,0.5,1.0,2,12.0,1.7320508075688772,3.464101615137755,2.279507056954778,5.2642960518099695,7.931369199443017,3.0000000000000004,6.000000000000002
6,0.5,1.0,2,12.0,1.7320508075688772,3.464101615137755,1.519671371303185,7.896444077714954,12.796950496740987,3.0000000000000004,5.999999999999998
2,0.5,1.0,2,16.0,2.0,4.0,5.65685424949238,2.8284271247461903,0.6355323334386895,4.0,8.0
4,0.5,1.0,2,16.0,2.0,4.0,2.82842712474619,5.656854249492381,11.725887222397812,4.0,8.0
6,0.5,1.0,2,16.0,2.0,4.0,1.8856180831641265,8.485281374238571,18.213328952128442,4.0,8.0
